Temperatura (°C),pH,Tempo (h),Glicose (g/L),Agitação (rpm),Tipo de Fermentador,Operador Responsável,Rendimento Etanol (%)
30.62,4.79,25.5,150.0,246.0,Tipo B,Desconhecido,42.08
39.26,4.95,24.0,174.7,136.9,Tipo B,Carlos,45.71
35.98,5.71,18.3,156.3,169.3,,Bruno,41.68
33.98,4.68,33.9,108.3,232.7,Tipo A,,45.01
27.34,5.74,29.2,118.6,196.4,Desconhecido,,25.93
27.34,4.18,43.2,121.9,247.7,Tipo C,bruno,52.05
25.87,5.55,13.2,125.8,292.2,tipo a,Ana,32.14
37.99,5.7,35.2,156.5,123.3,tipo a,Carlos,45.17
34.02,4.36,39.5,150.4,241.9,Tipo C,Ana,39.04
35.62,4.86,39.3,120.3,146.1,Desconhecido,bruno,53.98
25.31,4.33,,106.8,182.9,Tipo A,Bruno,46.86
,5.41,38.2,117.1,106.6,tipo a,Ana,41.98
37.49,5.07,45.4,9999.0,127.2,Tipo-B,ana,54.92
28.19,5.27,24.0,146.9,164.0,tipo a,Ana,35.09
27.73,4.39,30.1,186.7,168.4,,Ana,38.7
27.75,4.42,12.5,184.9,279.9,Tipo A,,25.47
29.56,4.08,12.3,151.2,248.4,Tipo B,bruno,30.69
32.87,4.64,20.6,170.7,294.4,Tipo B,,43.14
31.48,-1.0,15.6,119.3,219.8,Tipo B,Carlos,39.71
29.37,5.72,21.4,9999.0,148.3,,,28.02
34.18,5.33,18.4,127.2,165.5,Tipo A,Carlos,39.15
27.09,4.87,13.0,183.2,164.0,Tipo B,bruno,28.66
29.38,5.91,,108.4,165.3,Desconhecido,,50.03
30.5,5.44,12.3,177.3,234.6,Tipo B,Ana,34.68
31.84,5.86,38.5,110.0,206.2,Tipo A,Ana,44.87
36.78,5.06,17.5,188.1,177.1,,Desconhecido,34.31
28.0,4.52,44.8,130.4,129.8,Tipo-B,ana,45.99
32.71,4.11,44.1,165.4,104.4,tipo a,Bruno,44.37
33.89,-1.0,35.5,148.8,143.8,Tipo A,Bruno,42.44
25.7,4.24,36.2,136.6,121.5,Tipo A,Carlos,42.16
34.11,4.61,12.2,164.5,257.1,Tipo C,bruno,29.66
27.56,5.06,47.5,194.8,122.5,Tipo B,Ana,51.77
25.98,5.13,43.6,104.1,244.8,TIPO C,,46.87
,5.2,44.2,191.9,177.1,Tipo-B,ana,61.54
39.48,4.33,35.7,160.9,114.7,TIPO C,Bruno,48.33
37.13,4.76,24.4,180.7,262.5,Tipo C,bruno,36.1
29.57,5.23,44.2,138.4,215.9,Tipo-B,bruno,51.42
26.47,5.94,22.5,147.2,147.2,Tipo B,Ana,34.22
35.26,-1.0,32.3,186.9,278.9,TIPO C,ana,50.96
31.6,5.85,15.6,141.5,109.1,,bruno,30.7
26.83,5.52,45.2,9999.0,140.4,Tipo B,Bruno,54.19
32.43,5.18,17.1,102.0,250.4,Tipo B,Desconhecido,33.78
25.52,4.38,20.1,115.9,,tipo a,Bruno,20.19
38.64,5.33,32.1,164.2,157.9,Tipo-B,ana,44.95
28.88,5.25,39.5,171.7,112.4,Tipo-B,Desconhecido,46.85
34.94,5.2,34.3,158.3,271.6,Tipo C,,57.25
29.68,4.98,20.4,114.3,162.7,,,35.99
32.8,5.06,12.0,144.5,139.1,Tipo A,bruno,26.41
33.2,4.67,39.3,135.5,203.2,Tipo B,Bruno,44.68
,5.04,47.5,149.6,282.0,Tipo B,Ana,52.29
